"","CD40L&CD107a&IFNg&IL2&IL4&!IL10&!IL17&TNF","CD40L&CD107a&IFNg&IL2&!IL4&IL10&!IL17&TNF","CD40L&CD107a&IFNg&IL2&!IL4&!IL10&IL17&TNF","CD40L&CD107a&IFNg&IL2&!IL4&!IL10&!IL17&TNF","CD40L&CD107a&IFNg&IL2&!IL4&!IL10&!IL17&!TNF","CD40L&CD107a&IFNg&!IL2&IL4&!IL10&!IL17&TNF","CD40L&CD107a&IFNg&!IL2&!IL4&IL10&!IL17&TNF","CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&IL17&TNF","CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&TNF","CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","CD40L&CD107a&!IFNg&IL2&!IL4&!IL10&!IL17&TNF","CD40L&CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&TNF","CD40L&CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","CD40L&!CD107a&IFNg&IL2&!IL4&!IL10&!IL17&TNF","CD40L&!CD107a&IFNg&!IL2&!IL4&IL10&!IL17&TNF","CD40L&!CD107a&IFNg&!IL2&!IL4&IL10&!IL17&!TNF","CD40L&!CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&TNF","CD40L&!CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","CD40L&!CD107a&!IFNg&IL2&!IL4&!IL10&!IL17&TNF","CD40L&!CD107a&!IFNg&!IL2&!IL4&IL10&!IL17&!TNF","CD40L&!CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&TNF","CD40L&!CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","!CD40L&CD107a&IFNg&IL2&!IL4&!IL10&!IL17&TNF","!CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&TNF","!CD40L&CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","!CD40L&CD107a&!IFNg&!IL2&!IL4&IL10&!IL17&!TNF","!CD40L&CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&TNF","!CD40L&CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","!CD40L&!CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&TNF","!CD40L&!CD107a&IFNg&!IL2&!IL4&!IL10&!IL17&!TNF","!CD40L&!CD107a&!IFNg&!IL2&IL4&!IL10&!IL17&!TNF","!CD40L&!CD107a&!IFNg&!IL2&!IL4&IL10&!IL17&!TNF","!CD40L&!CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&TNF","!CD40L&!CD107a&!IFNg&!IL2&!IL4&!IL10&!IL17&!TNF"
"R_CC009J_64",0,0.017,0,0.083,0.00827,0,0.00827,0.00827,0.15,0.025,0,0.017,0.03264,0.017,0.00827,0,0.093,0.00864,0.008,0.016,0.083,0.38,0,0,0,0.074,0,0.5,0,0,0.03264,0.67,0,0
"R_CC024J_72",0,0,0,0.6,0,0.01,0,0,0.76,0.01,0,0.031,0.02,0.01,0,0,0.25,0.02,0.01,0,0.052,0.15,0.021,0,0,0.01,0,1.12,0.031,0,0,0.26,0,0
"R_CC039_80",0,0,0,0.25,0,0,0.05,0,1.18,0.1,0,0.12,0,0.075,0.025,0.025,1.102,0.226,0,0.025,0.26,0.7,0,0.126,0.132,0.025,0.004,0.15,0.58,0.36,0,0.71,1.27,0
"C_CC059_88",0.023,0,0.084,1.57,0.015,0.00763,0.046,0.18,3.926,0.06816,0.015,0.21216,0.03816,0.099,0.015,0,0.837,0.068,0.038,0,0.393,0.24,0.00763,0.19,0.01516,0,0.14,0.21,0.222,0,0.015,0.068,0.54,0
"R_PWK_96",0.041,0.058,0.066,0.77,0.041,0.14,0.3,0.041,2.33,0.15,0.00822,0.041,0.026,0.13,0.016,0.00822,0.38,0.14,0.00822,0.033,0.11,0.24,0.025,0.25,0.08,0.041,0.036,0.46,0.09,0.08,0.05,0.18,0.04,0
"C_B6_104",0.038,0.019,0.14,2.68,0.028,0.019,0.028,0.15,3.78,0.1,0.019,0.24,0.045,0.31,0.038,0,1.52,0.33,0.075,0.046,0.71,1.07,0.066,0.13,0.037,0,0.094,0.7,0.12,0.18,0.009,1.06,0.41,0
"C_CC001_57",0.019,0.019,0.079,1.16,0.00467,0.00467,0.014,0.13,1.8,0.03175,0.023,0.14,0.10475,0.19475,0.00935,0,0.914,0.114,0.051,0.04175,0.434,0.85,0.037,0.04575,0.023,0.018,0.002,0.15,0.074,0.084,0.014,0.22,0.07,0
"R_CC009J_65",0,0,0.011,0.064,0,0,0,0.011,0.042,0,0,0.032,0.021,0,0.011,0,0.021,0.011,0.021,0.011,0.074,0.07,0,0,0,0.042,0.64,0.9,0,0,0,0.15,0.049,0
"R_CC024J_73",0,0,0,0.24,0.00739,0,0.00739,0,0.19,0.015,0.00739,0,0.03,0.01416,0.00739,0,0.089,0.01416,0,0,0,0.01,0,0.00739,0,0.006,0.00716,0.21,0,0,0.10216,0.61,0,0
"R_CC039_81",0,0.018,0,0.45,0,0.018,0.036,0.018,4.36,0.16,0,0.16,0.071,0.18,0,0,2.991,0.601,0.036,0,0.58,0.65,0,0.5,0.14,0.13,0.121,0.56,1.56,0.28,0.034,0.351,0,0
"C_CC059_89",0,0,0.055,1.19,0.013,0,0.00426,0.047,1.50071,0.034,0.043,0.18,0.028,0.14,0.00851,0,0.53535,0.00386,0.06735,0.00851,0.381,0.23,0.17,0.37,0.017,0.00426,0.1,0.14,0.10071,0.035,0.02071,0.078,0.13,0
"R_PWK_97",0.16,0.16,0,0.99,0,0.082,0.58,0.25,2.64,0.33,0,0.25,0.082,0.16,0.082,0,0.49,0.25,0,0,0,0.16,0.082,0.49,0.25,0.16,0.077,1.06,0.25,0.49,0,0,0,0
"C_B6_105",0.00969,0,0.029,1.7,0.019,0.00969,0.039,0.029,2.839,0.077,0,0.23,0,0.19,0,0,1.149,0.179,0.039,0.019,0.539,0.26,0.058,0.169,0.006,0,0.037,0.61,0.12,0.06,0.006,0.4,0.05,0
"C_CC001_58",0,0.043,0.096,1.13,0.00481,0.019,0.053,0.14,2.0849,0.043,0,0.14,0.109,0.32,0.034,0.00481,1.715,0.19,0.077,0.038,0.879,2.03,0.014,0.048,0.004,0.045,0.038,0.04,0.135,0.059,0,0.48,0,0
"R_CC009J_66",0,0,0,0.018,0,0,0,0,0.1,0,0,0.027,0,0.00907,0,0,0.091,0.036,0,0.00907,0,0.44,0,0,0.00907,0.00884,0,0.35,0.00907,0.02684,0,0.73,0,1.7
"R_CC024J_74",0,0.00502,0.025,0.42,0,0,0,0.015,0.33,0.00966,0,0.02,0.014,0.035,0,0,0.07966,0.02466,0.015,0,0.059,0.09,0.01,0.03,0.019,0.05466,0,0.8,0.025,0,0,0.25,0,0
"R_CC039_82",0,0,0,0.46,0,0.046,0,0.046,2.88,0.14,0,0,0.046,0.093,0,0,2.46,0.507,0,0.046,0.46,0.93,0,0.46,0.047,0,0.046,0.28,1.114,0.51,0,0.46,0.98,0
"C_CC011J_90",0.00897,0.018,0.045,0.27,0,0,0.05316,0.054,2.6,0.23,0,0.06216,0.11016,0.045,0.036,0,0.441,0.09,0.00897,0.027,0.20016,0.4,0,0.33,0.06216,0,0.13,0.35,0.12,0.081,0,0.38,0.03,0
"R_PWK_98",0,0.025,0.025,0.23,0,0,0.025,0,0.103,0,0,0,0,0,0,0,0,0,0.025,0,0.022,0,0,0,0,0.069,0,0.66,0.025,0,0,0.13,0,0
"C_B6_106",0.027,0.054,0.14,1.95,0,0.014,0.041,0.068,3.375,0.11,0.027,0.3,0.145,0.27,0.014,0.014,1.345,0.232,0.014,0.054,0.707,0.96,0.14,0.18,0,0,0.082,0.39,0.18,0.23,0.014,1.06,0.2,0
"C_CC001_59",0.047,0.021,0.11,2.09446,0.01,0.00524,0.052,0.17,2.95446,0.079,0.026,0.2,0.093,0.41446,0.026,0,1.638,0.143,0.089,0.026,0.902,0.86,0.052,0.062,0,0.02,0.046,0.34,0.223,0.05,0.01046,0.2,0.16,0
"R_CC018J_67",0,0.00999,0.02,0.33543,0.015,0.005,0.26,0.00999,1.907,0.29543,0.00999,0.11086,0.209,0.06,0.08,0.05,0.646,0.253,0.01043,0.00043,0.26543,0.75,0.00999,0.06,0.058,0.06543,0.013,0.18,0.10543,0.239,0.003,0.06,0,0
"R_CC024J_75",0.00931,0.00931,0.019,0.47,0.00931,0,0,0.00931,0.31,0,0,0.019,0,0.047,0,0,0.089,0.00931,0,0.00931,0.054,0.16,0.00931,0.019,0,0.033,0,0.59,0.00931,0.007,0.028,0.8,0,0
"R_CC039_83",0.031,0,0,1.53,0.031,0.062,0,0.12,5.9,0.12,0,0.12,0.064,0.09,0,0,2.63,0.5,0.031,0,0.97,0.44,0,0.37,0.094,0,0.002,0.0299999999999999,0.69,0.3,0.064,0.35,0.61,0
"R_PWK_99",0.05,0.05,0.033,0.35,0.017,0.083,0.083,0.05,1.42,0.15,0,0.033,0.13,0.017,0,0,0.36,0.083,0,0.017,0.007,0.18,0.05,0.184,0.048,0.26,0.04,3.85,0.173,0,2.17,1.273,0.16,0
"C_B6_107",0,0.025,0.025,1.19,0.025,0.025,0.025,0.025,0.99,0.12,0,0.074,0.074,0.15,0,0,0.294,0.099,0,0.05,0.22,0.39,0.099,0.05,0,0.05,0.074,0,0.05,0,0,0.84,0.148,0
"R_CC009J_60",0,0.013,0,0.039,0,0,0,0,0.039,0.026,0.013,0,0.013,0,0,0,0.052,0.013,0,0,0.039,0.04,0,0,0,0.013,0,0.19,0.013,0.013,0.013,0.09,0,0.0999999999999943
"R_CC018J_68",0,0.031,0.02,0.4,0.01,0.015,0.17,0.041,2.45,0.23,0,0.24489,0.284,0.066,0.092,0.077,1.13,0.29,0.015,0.026,0.544,1.03,0.00511,0.072,0.06689,0.03089,0.054,0.91,0.155,0.15,0.01,0.138,0,0
"R_CC024J_76",0,0,0,0.17,0,0,0,0.021,0.21,0.021,0,0.042,0,0,0,0,0.11,0.001,0,0,0.022,0.05,0,0,0.021,0,0.021,0.56,0,0,0.021,0.25,0,0
"C_CC059_84",0.018,0.03,0.23,2.64,0.018,0.012,0.066,0.27,7.42,0.11,0.018,0.32,0.006,0.23252,0.03,0.006,2.14,0.123,0.03,0.006,1.013,0.65,0.066,0.39252,0.042,0,0.115,0.16,0.34,0.17,0.006,0.012,0,0
"C_CC011J_92",0.00616,0.00616,0.00616,0.26,0,0,0.068,0.092,1.21372,0.01872,0,0.068,0.043,0,0,0,0.217,0.049,0,0.04272,0.11372,0.41,0,0.018,0.012,0.047,0.043,0.26,0.018,0.055,0,0.74,0.058,0
"R_PWK_100",0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0.021,0,0,0.03,0,0,0.15,0.024,0.064,0
"C_B6 uninfected_BU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0.025,0,0,0,0,0,0.13,0,0.400000000000006
